subject_id,psi_spearman_rho
610,-0.37472220703878945
611,-0.11629512632006384
612,-0.20523728949047695
613,-0.2532403175227667
614,-0.390214164655263
615,-0.12754458730469312
616,-0.1911383621363649
617,-0.26653022889485506
618,-0.4874420380798859
619,-0.4426132815494909
620,-0.5282925708898355
621,-0.05224084938274881
622,-0.3316755536251593
623,-0.3408060059147616
624,-0.4001389986684328
625,-0.08916784401710916
626,-0.3093123773693592
627,-0.3336073842101953
629,-0.24918751576288373
630,-0.41845508063399617
631,-0.5519877949004272
632,-0.21858895647944318
633,-0.248044253530029
634,-0.14547414818215146
635,-0.14882548848582677
636,-0.20383394460450632
637,-0.35369733974986306
638,-0.20312987892023032
639,-0.28873034851960877
640,-0.06807587288724588
641,-0.4035892730569216
642,-0.4064027055288789
643,-0.40204868292742024
644,-0.2899047852605066
645,-0.1489042016649952
646,-0.2874568886087195
647,0.029641652625486226
648,-0.5210462403213755
649,-0.5660993261687769
650,-0.4403077301348929
651,-0.27640043791497587
652,-0.10873230855595116
653,-0.316429201388575
654,-0.472942472453507
655,-0.23791013862207588
656,-0.20412125114579008
657,-0.11402187549620046
658,-0.4162334630518659
659,-0.22149613990753053
660,-0.3447770618445022
661,-0.2896635149933329
662,0.09041858020756798
663,-0.13173301820799785
664,-0.3242067011764057
665,-0.2636451017956388
666,-0.10324646233536462
667,-0.4240697692394993
668,-0.39838353200936766
669,-0.0286037942686692
670,-0.299008310025396
671,-0.04165154099659233
672,-0.4363484451258301
673,0.03045268783521714
674,-0.10596445973004355
675,-0.13711115507802715
676,-0.42550583278311216
677,-0.33254688619344214
678,-0.285979724331526
679,-0.2097293116568348
681,-0.06884482423833678
682,0.019379326352623703
683,-0.25541713563235036
684,-0.32541905884376987
685,-0.07657742719761164
686,-0.18539436035539766
687,-0.35636056613344747
688,-0.49770505884958166
689,-0.22773569950466532
690,-0.3208848919469983
691,-0.3210662477816404
692,-0.21477688002234505
693,-0.10826085036345459
694,-0.5163438640408832
695,-0.048231042560571105
698,-0.14483778716915494
699,-0.335658022653913
700,-0.06295773507343712
701,-0.5189163644567646
702,-0.44994244513483966
703,-0.5465546288021885
704,-0.17987521264918302
705,-0.2250995432903059
706,-0.4873583712688977
707,-0.25466651100818566
708,-0.31299803602531756
709,-0.23611603728320357
710,-0.18328346336972398
711,-0.13723080658333578
712,-0.038089687502231934
713,-0.6626865812219503
714,-0.21043370185916838
716,-0.4170055452709462
717,-0.3573852373518779
718,-0.40123123711282216
719,-0.5877059751112452
720,-0.26499974064328985
721,-0.20535240775509025
722,-0.4114566939656801
723,-0.17589991193643337
724,-0.11736634590209295
725,-0.3080743684088201
726,-0.3425821707659718
727,-0.1704450819482247
729,-0.42415082144045085
730,-0.25719717592779434
731,-0.0168763953899691
732,-0.6191758456106594
733,-0.05622813874529311
734,-0.40422761885500347
735,-0.2247131682940632
736,-0.29615643752933524
737,-0.49334673800572354
738,-0.20705896404960017
739,-0.07412231803274887
741,-0.31876763074514686
742,-0.05747175397521658
743,-0.37976181016014277
744,-0.2895043063935096
745,-0.3123546744248782
746,-0.041860285510403855
747,-0.1566095239670933
748,-0.3084361735247055
749,-0.2993603864476378
750,-0.2948999182091928
751,-0.23801836408742327
752,-0.17638535709021316
753,-0.2016873601559452
754,-0.25672075319049253
755,-0.4522927629717129
756,0.07138260748618203
757,-0.230453485649737
758,-0.2666064862245615
759,-0.17151484924307742
760,-0.07863074856859183
761,-0.41531261952821824
762,-0.1736657100457228
763,-0.45861045173706866
764,-0.1120945634729123
765,-0.5232006397702761
766,-0.2566154062837877
767,-0.3099718421495467
768,-0.211358220215297
769,-0.15492967492183707
770,-0.44750145251940604
771,-0.28400595927699585
772,-0.5198278658686776
773,-0.5421946263445283
774,-0.41630947868339024
775,-0.3125423546912535
776,-0.404222255639307
778,-0.250173963120175
779,-0.3904255181660164
780,-0.10917042249044498
781,-0.0897624043217131
782,-0.42269691377455776
783,-0.31738235349162197
784,-0.08373228964151512
785,-0.1855765401255096
786,-0.12705691264118407
787,-0.01830561783025795
788,-0.2261597190930508
789,-0.14834236203186013
790,-0.21543270864059624
791,-0.36173021053621335
792,-0.3301251583506428
793,-0.2848668723549998
794,-0.3554226043873848
795,-0.24430192536012332
796,-0.2738664751896036
797,-0.292227050463974
798,-0.4310619925072072
799,-0.10985671458885256
801,-0.2406827718706753
802,-0.39121275371374403
803,-0.4130630583044175
804,-0.1984055740035911
806,-0.4204798687494336
807,-0.10751492007205889
808,-0.43494857911993434
809,-0.2048912145925996
810,-0.17108696790356775
811,-0.3005248794199349
812,-0.10524730279016731
813,-0.19383390492289457
814,-0.25744891701367434
815,-0.23557832624509434
816,-0.24660028824265107
817,-0.18536743867034858
818,-0.11256872506577612
819,-0.12805064044225878
820,-0.24127646615755197
821,-0.10804333836961355
822,-0.417928480548229
823,-0.3314098033355508
824,-0.34488220522724705
825,-0.10762374992865195
826,-0.482326766305295
827,-0.20396058715579268
828,-0.14281562877030188
830,-0.24573819486372078
831,-0.15235537766330953
832,-0.2583826529455663
833,-0.3766223111153085
834,-0.31327799317055094
835,-0.3357716263950571
836,-0.2038866500134315
837,-0.09823061504176774
838,-0.30821374847885297
839,-0.30525343259472787
840,-0.285135057670996
841,-0.29734810720344407
842,0.13953840057765327
843,-0.3561988548768021
844,-0.28631152382305036
845,-0.5087328127956939
847,-0.3178818170724503
848,-0.46451912597205486
849,-0.38936197925434557
850,0.013140156099488964
851,-0.26342508995321173
852,-0.4494179832013705
853,-0.3068244762759751
855,-0.5306520839559251
856,-0.167885971757877
857,-0.3319550716188229
858,-0.4061171692915518
859,-0.3907160452104897
860,-0.16075105242379978
861,-0.19991838960884462
862,-0.5386033920187879
863,-0.47029578179191944
865,-0.34069216076286024
866,-0.45060032667920513
867,-0.34957963909546214
868,0.00849352132958162
869,-0.2749672204680714
870,-0.32155577302387556
871,-0.3088612597879374
872,-0.1783296310493488
873,-0.125491613633641
874,-0.4481446349501748
875,-0.19504979916373089
876,-0.20792164647972278
877,-0.22134271117353627
878,-0.3136749566175003
879,-0.347761900684046
880,-0.526699186481454
881,-0.13277907885030335
882,-0.1832187010843646
883,-0.25197302665905547
884,-0.3378507592934092
885,-0.08339743706918706
886,-0.30990531051856834
887,-0.22438546611589102
888,-0.3458425220504816
889,-0.06501131404389118
890,-0.25724748551603493
891,-0.11338014038941817
892,-0.2769486893370745
893,-0.1408858934853788
894,-0.25860918016977463
895,-0.35137727998306345
896,-0.1277276058719837
898,-0.49977876212135325
899,-0.32677198725189666
900,-0.203689339913545
901,-0.29735044753206996
902,-0.07544701483017083
903,-0.10061506136669099
904,-0.27800701215667445
905,-0.12148222535494524
906,-0.41675892294358413
907,-0.1972066292039687
908,-0.34926558313650574
909,-0.26890782289733856
910,-0.4493661183330604
911,-0.1903854366859146
912,-0.32521940578641745
913,-0.31273402745871154
914,-0.28559788132827424
915,-0.4850787391601982
916,-0.12015164961526693
917,-0.3628320453213081
918,-0.2838132393739453
919,-0.22014273407403395
920,-0.4842838018972311
921,-0.07191571849870473
922,-0.4228230784971249
923,-0.19023889792029067
924,-0.060302744972997285
925,-0.30217454192026244
926,-0.09412847229049114
927,-0.3388393632733961
929,-0.15314986686861165
930,-0.2618988610667894
931,-0.29885233026748975
932,-0.468731477834673
933,-0.42292763374124753
934,-0.34267634311886963
935,-0.39595821090355243
936,-0.16862384918836978
937,-0.44397979938740334
938,-0.3059208501678678
939,-0.38990423887518333
940,-0.4474440970283173
941,-0.378304750135368
942,-0.4348561600854471
943,-0.2548646121704623
944,-0.2958014615295436
946,-0.23258264280944463
